fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
2268,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
2269,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
2270,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2271,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2272,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2273,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2274,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2275,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2276,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2277,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},,{total zerstört},,,
2278,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2279,Totalschaden neu,nicht kartiert,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},"{Mauerteile, die einzustürzen drohen}",{total zerstört},,,
2280,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
2281,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2282,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2283,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2284,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2285,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2286,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2287,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2288,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},{leicht und mittel beschädigt},{total zerstört},,,
2289,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2290,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2291,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2292,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2293,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2294,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2295,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2296,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2297,Totalschaden neu,Totalschaden alt,Über 60% zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, schwer beschädigt, leicht und mittel beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt}","{wieder aufgebaut, über 60% zerstört}",,,
2298,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},"{Schwerer Schaden alt, Totalschaden neu}",{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,1,
2299,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2300,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2301,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2302,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2303,nicht kartiert,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2304,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2305,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2306,schwerer Schaden alt,schwerer Schaden neu,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",historisch wertvolles Gebäude,"{Historisch wertvolle Gebäude, grau}","{Schwerer Schaden neu, Totalschaden neu}","{Totalschaden alt, Schwerer Schaden neu}","{Totalschaden neu, nicht kartiert}","{schwer beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{wieder aufgebaut},,,
2307,nicht kartiert,Totalschaden alt,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{nicht kartiert},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2308,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2309,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
2310,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2311,Totalschaden alt,Totalschaden alt,Über 60% zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{über 60% zerstört},,,
2312,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2313,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2314,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2315,Totalschaden alt,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},"{total zerstört, Provisorium}",,1,
2316,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2317,Totalschaden alt,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},"{total zerstört, Provisorium}",,1,
2318,Totalschaden alt,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, schwer beschädigt}",{Provisorium},,,
2319,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2320,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2321,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2322,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2323,Totalschaden alt,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
2324,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2325,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2326,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2327,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2328,schwerer Schaden neu,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden neu,geräumte Fläche,schwer beschädigt,grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{Schwerer Schaden neu},"{total beschädigt, schwer beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
2329,Totalschaden alt,Totalschaden alt,Über 60% zerstört,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{über 60% zerstört},,,
2330,nicht kartiert,Totalschaden alt,Wieder aufgebaut,nicht kartiert,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{nicht kartiert},{Totalschaden alt},{nicht kartiert},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{wieder aufgebaut},,,
2331,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
2332,schwerer Schaden neu,Totalschaden neu,Total zerstört,schwerer Schaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Schwerer Schaden neu},{Totalschaden neu},{Schwerer Schaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,1,
2333,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,
2334,nicht kartiert,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{nicht kartiert},{Totalschaden alt},{nicht kartiert},,{total zerstört},,,
2335,Totalschaden neu,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{Totalschaden alt},{nicht kartiert},,{total zerstört},,,
2336,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2337,nicht kartiert,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{nicht kartiert},{leicht und mittel beschädigt},{total zerstört},,,
2338,Totalschaden alt,Totalschaden alt,Über 60% zerstört,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt, leicht - Noch vorhandene, teilweise bewohnte Untergeschoße, Unterführungen und Brücken die beschädigt sind., schwer - Noch vorhandene, teilweise bewohnte Untergeschoße, Unterführungen und Brücken die beschädigt sind.}",{über 60% zerstört},,,
